"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","1000uF 35V","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C2","1","470pF 100V","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C3","1","470uF 16V","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"D1","1","24V?","","","","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","~"
"D2","1","630mV","","","","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","~"
"D3","1","850mV","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"D4","1","630mV 1N5819","","","","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","~"
"D5","1","24V  1N4006","","","","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","~"
"J1_24V_ROW1","1","Conn_01x04","","","","Connector_JST:JST_VH_B4P-VH-B_1x04_P3.96mm_Vertical","~"
"J1_CN1_24V1","1","Conn_01x03","","","","Connector_JST:JST_VH_B3P-VH-B_1x03_P3.96mm_Vertical","~"
"J2_CN2_9V_Main1,J3_CN3_9V_Main1","2","Conn_01x02","","","","Connector_JST:JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical","~"
"J4,J5,J6,J7,J8,J9,J10,J11","8","Conn_01x05","","","","Connector_JST:JST_VH_B5P-VH-B_1x05_P3.96mm_Vertical","~"
"L1_Inductor1","1","L_Ferrite","","","","Capacitor_THT:CP_Radial_D13.0mm_P7.50mm","~"
"Q1,Q2","2","DTC143E","","","","Package_TO_SOT_THT:TO-92_Inline",""
"R1","1","220Ω","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R2","1","10KΩ","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R3","1","1.2kΩ","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~"
"R4","1","6.2KΩ","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R5","1","0.22Ω","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R6","1","1kΩ","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U1","1","MC34063AP","","","","Package_DIP:DIP-8_W7.62mm","http://www.onsemi.com/pub_link/Collateral/MC34063A-D.PDF"
